Quarter,mean_score
2007-01-01,0.1350921036174442
2007-04-01,0.15939557442495525
2007-07-01,0.17672884303185474
2007-10-01,0.1749958376152187
2008-01-01,0.18749166216087396
2008-04-01,0.22487021299954668
2008-07-01,0.24667416465167954
2008-10-01,0.24626557121934578
2009-01-01,0.2518252709080404
2009-04-01,0.2585564732773022
2009-07-01,0.2676030569667083
2009-10-01,0.2909082753286305
2010-01-01,0.2997431207723239
2010-04-01,0.3119649262286821
2010-07-01,0.33247403206872234
2010-10-01,0.30080373262535093
2011-01-01,0.25977687400363936
2011-04-01,0.22096948942750266
2011-07-01,0.21547172325539365
2011-10-01,0.21734915214356715
2012-01-01,0.23183702309913362
2012-04-01,0.23209513137506146
2012-07-01,0.2337644371599949
2012-10-01,0.2768690837795239
2013-01-01,0.3254173913933705
2013-04-01,0.3654890197507162
2013-07-01,0.3790608192717405
2013-10-01,0.38486925023053453
2014-01-01,0.37736477531203294
2014-04-01,0.3700007011678743
2014-07-01,0.3764977242221572
2014-10-01,0.37963621460389146
2015-01-01,0.382428977425354
2015-04-01,0.3972345186887558
2015-07-01,0.40481300267024395
2015-10-01,0.40420796557254557
2016-01-01,0.41194328153207205
2016-04-01,0.4215486379787015
2016-07-01,0.4176014572528873
2016-10-01,0.4140934456702814
2017-01-01,0.41608184929646763
2017-04-01,0.4113832634591005
2017-07-01,0.4053145747227003
2017-10-01,0.40276757294254806
2018-01-01,0.4025112026394939
2018-04-01,0.402527312312916
2018-07-01,0.4031700142135529
2018-10-01,0.4084397468731965
2019-01-01,0.4116715445972151
2019-04-01,0.41627151022605036
2019-07-01,0.42219787381994733
2019-10-01,0.4043782558794048
2020-01-01,0.3944364811509551
2020-04-01,0.38235611344913817
2021-01-01,0.38392465471128173
2021-04-01,0.38001206365807166
2021-07-01,0.3647765928072945
2021-10-01,0.3559603451956586
2022-01-01,0.33290842171086965
2022-04-01,0.3455020282067975
2022-07-01,0.33945141069947904
2022-10-01,0.34328491068731937
